,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer,Days_To_Delivery,Price_Unit_Lower_Bound_2SD,Price_Unit_Upper_Bound_2SD,Unit_Price_Annomaly
9301,MREQ-29803,29803,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,40.4,40.4,Plastic Drainage,2020-03-12,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,8.0,0.0,389.84692001342773,0
9302,MREQ-29803,29803,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,20.2,20.2,Plastic Drainage,2020-03-12,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,8.0,0.0,389.84692001342773,0
9303,MREQ-29803,29803,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,30,Each,115.0,3450.0,Plastic Drainage,2020-03-12,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,8.0,0.0,389.84692001342773,0
9304,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,88.0,88.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9305,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,120.0,120.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9306,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,50.0,50.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9307,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,88.0,88.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9308,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,88.0,88.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9309,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,188.0,188.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9310,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,257.28,257.28,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9311,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,88.0,88.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9312,MREQ-29804,29804,2020-03-04,Section 4,Material Requisition,Not on List,Not on List,1,Each,195.0,195.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,23.0,0.0,18912.62744140625,0
9313,MREQ-29822,29822,2020-03-04,Section 5,Material Requisition,Kerbs,Not on List,2,Each,650.0,1300.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-09,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,5.0,0.0,125807.83251953125,0
9315,MREQ-29855,29855,2020-03-05,Section 5,Material Requisition,Not on List,Not on List,1,Each,88.0,88.0,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,22.0,0.0,18912.62744140625,0
9316,MREQ-29855,29855,2020-03-05,Section 5,Material Requisition,Not on List,Not on List,1,No ,233.5,233.5,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,22.0,1.8097305297851562,260.19026947021484,0
9320,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,37.5,37.5,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9321,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,38.87,38.87,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9322,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,66.7,66.7,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9323,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,No ,37.5,37.5,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,1.8097305297851562,260.19026947021484,0
9324,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,84.08,84.08,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9325,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,712.72,712.72,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9326,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,36.21,36.21,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9327,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,145.26,145.26,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9328,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,367.49,367.49,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9329,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,332.27,332.27,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9330,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,937.5,937.5,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9331,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,38.87,38.87,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9332,MREQ-29885,29885,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,1,Each,357.81,357.81,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Operational Approval,,,REQ - Section 4 Buyers,21.0,0.0,18912.62744140625,0
9336,MREQ-29890,29890,2020-03-06,Section 5,Material Requisition,Not on List,Not on List,1,Each,66.7,66.7,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,21.0,0.0,18912.62744140625,0
9337,MREQ-29890,29890,2020-03-06,Section 5,Material Requisition,Not on List,Not on List,1,Each,43.45,43.45,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,21.0,0.0,18912.62744140625,0
9338,MREQ-29890,29890,2020-03-06,Section 5,Material Requisition,Not on List,Not on List,1,Each,112.1,112.1,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,21.0,0.0,18912.62744140625,0
9339,MREQ-29890,29890,2020-03-06,Section 5,Material Requisition,Not on List,Not on List,1,Each,242.0,242.0,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,21.0,0.0,18912.62744140625,0
9340,MREQ-29890,29890,2020-03-06,Section 5,Material Requisition,Not on List,Not on List,1,Each,141.9,141.9,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,21.0,0.0,18912.62744140625,0
9341,MREQ-29890,29890,2020-03-06,Section 5,Material Requisition,Not on List,Not on List,1,Each,172.41,172.41,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,21.0,0.0,18912.62744140625,0
9342,MREQ-29890,29890,2020-03-06,Section 5,Material Requisition,Not on List,Not on List,1,Each,84.06,84.06,Professional Services,2020-03-27,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,21.0,0.0,18912.62744140625,0
9343,MREQ-29894,29894,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,3,Each,150.24,450.72,Builders Merchants (General),2020-03-12,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,978.6569290161133,0
9344,MREQ-29894,29894,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,4,Each,25.97,103.88,Builders Merchants (General),2020-03-12,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,978.6569290161133,0
9345,MREQ-29894,29894,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,6,Each,14.4,86.4,Builders Merchants (General),2020-03-12,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,978.6569290161133,0
9346,MREQ-29894,29894,2020-03-06,Section 4,Material Requisition,Not on List,Not on List,3,Each,30.62,91.86,Builders Merchants (General),2020-03-12,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,978.6569290161133,0
9347,MREQ-29923,29923,2020-03-09,Section 4,Material Requisition,Not on List,Not on List,1,Each,555.0,555.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,18.0,0.0,18912.62744140625,0
9348,MREQ-29923,29923,2020-03-09,Section 4,Material Requisition,Not on List,Not on List,1,Each,555.0,555.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,18.0,0.0,18912.62744140625,0
9349,MREQ-29923,29923,2020-03-09,Section 4,Material Requisition,Not on List,Not on List,1,Each,555.0,555.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,18.0,0.0,18912.62744140625,0
9350,MREQ-29923,29923,2020-03-09,Section 4,Material Requisition,Not on List,Not on List,1,Each,555.0,555.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,18.0,0.0,18912.62744140625,0
9351,MREQ-29923,29923,2020-03-09,Section 4,Material Requisition,Not on List,Not on List,1,Each,555.0,555.0,Professional Services,2020-03-27,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,18.0,0.0,18912.62744140625,0
9352,MREQ-29924,29924,2020-03-09,Section 2,Material Requisition,Not on List,Not on List,1,Each,603.4,603.4,Professional Services,2020-03-27,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers,18.0,0.0,18912.62744140625,0
9353,MREQ-29926,29926,2020-03-09,Section 3,Material Requisition,Not on List,Not on List,1,Each,555.0,555.0,Professional Services,2020-03-27,"Gate D - 1350303 - Batching Plant, Ermine St. A1198 Rd, PE29 2NH",PLM3 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,18.0,0.0,18912.62744140625,0
9354,MREQ-29929,29929,2020-03-09,Section 4,Material Requisition,Aggregate,A20 Pipe Bed,400,Tonnes,21.75,8700.0,Aggregate,2020-03-11,RVP 412 - 1339628 - Borrow Pit 6 J30 Eastbound,SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,15.908362627029419,29.046181440353394,0
9355,MREQ-29929,29929,2020-03-09,Section 4,Material Requisition,Aggregate,A20 Pipe Bed,400,Tonnes,21.75,8700.0,Aggregate,2020-03-12,RVP 412 - 1339628 - Borrow Pit 6 J30 Eastbound,SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,15.908362627029419,29.046181440353394,0
9356,MREQ-29929,29929,2020-03-09,Section 4,Material Requisition,Aggregate,A20 Pipe Bed,400,Tonnes,21.75,8700.0,Aggregate,2020-03-13,RVP 412 - 1339628 - Borrow Pit 6 J30 Eastbound,SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,15.908362627029419,29.046181440353394,0
9365,MREQ-29971,29971,2020-03-10,Section 4,Material Requisition,Kerbs,Not on List,10,Each,44.17,441.7,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-16,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,125807.83251953125,0
9370,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs Splayed 45deg 125x255  (898227),704,Each,4.59,3231.36,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,3.8826075196266174,5.825964868068695,0
9371,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Transition Kerbs 125x255  (947297),1,Each,10.83,10.83,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,9.329356282949448,11.446644693613052,0
9372,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Transition Kerbs 125x255  (947297),2,Each,10.08,20.16,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,9.329356282949448,11.446644693613052,0
9373,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs 125x255 - 150x125 Sply - BN Drop L/H (898584),1,Each,11.94,11.94,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,8.637879729270935,14.44575560092926,0
9374,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs 125x255x914 HB2 Straight (753046),637,Each,3.52,2242.24,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,2.6873864233493805,4.997229188680649,0
9375,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs 125x255 - 125x150 HB - BN Drop L/H (898584),10,Each,7.68,76.8,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,6.541842073202133,8.62649193406105,0
9376,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs 125x255 - 125x150 HB - BN Drop R/H  (897467),11,Each,7.68,84.48,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,5.880568265914917,9.868003129959106,0
9377,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Flat Top Edging 50x150x915  (805282),202,Each,1.61,325.22,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,0.0,14.262701988220215,0
9378,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs 125x150x914 BN Straight (753034),53,Each,3.03,160.59,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,2.3185433447360992,4.388123124837875,0
9379,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs 125x255 HB External Radius (947297),25,Each,5.43,135.75,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,3.4072747230529785,9.117169857025146,0
9380,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Concrete Kerbs 125x255 HB External Radius (947297),17,Each,5.43,92.31,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,3.4072747230529785,9.117169857025146,0
9381,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Kerbs,Not on List,12,Each,16.17,194.04,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,0.0,125807.83251953125,0
9382,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Bricks/Blocks,Not on List,16,Meters2,477.36,7637.76,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,1104 - Footways and Paved Areas,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,0.0,2945.5930786132812,0
9383,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Bricks/Blocks,Not on List,35,Meters2,1113.84,38984.4,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,1104 - Footways and Paved Areas,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,0.0,2945.5930786132812,0
9384,MREQ-30008,30008,2020-03-11,Section 6,Material Requisition,Bricks/Blocks,Not on List,75,Meters2,2817.56,211317.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2020-03-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,1104 - Footways and Paved Areas,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,7.0,0.0,2945.5930786132812,0
9392,MREQ-30019,30019,2020-03-11,Section 5,Material Requisition,Aggregate,6G,178.54,Tonnes,32.9,5873.97,Aggregate,2020-03-18,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,7.0,19.037993907928467,35.86200761795044,0
9393,MREQ-30023,30023,2020-03-11,Section 3,Material Requisition,Not on List,Not on List,1,Each,2040.09,2040.09,Tanks and Interceptors ,2020-03-27,"Gate D - 1350303 - Batching Plant, Ermine St. A1198 Rd, PE29 2NH",PLM3 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,16.0,0.0,6664.8475341796875,0
